habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
leaves 	 Feuilles opposées rarement subopposées.
petiole 	 Pétioles de 3-7 mm à bords du canal droits.
lamina 	 Limbe sublauriforme, de 7-16 x 2,5-6 cm, à base aiguë, à acumen de 6-20 mm, à marges nettement dentées et parfois ± ondulées, concolore, olivacé ou olivâtre à sec.
secondary veins 	 Nervures secondaires 8-12 paires.
inflorescences 	 Inflorescences en glomérules axillaires sessiles (l)3-8(10)-flores.
pedicels 	 Pédicelles grêles ou non de (3)4-13 mm.
buds 	 Bouton globuleux ou brièvement ovoïde de 1,5-2,2 mm de largeur.
flowers 	 Fleurs violacé noirâtre, violettes, pourpre foncé, rouges, rosées ou plus rarement blanches, rotacées, de 4-6 mm de diamètre.
sepals 	 Sépales très inégaux, les uns ovés de 0,9 mm de largeur, les plus grands semi-circulaires de 1,8 mm, à marge entière ou microdenticulée.
petals 	 Pétales orbiculaires ou ovés, un peu anguleux ou non, à nombreuses nervures flabellées peu distinctes, de 1,8-2,5 x 1,5-2,4 mm, étalés ou cambrés voire tubulés.
disk 	 Disque en coussin annulaire de 1,5-1,7 mm de diamètre et 0,5 mm d'épaisseur, parfois un peu patelli-forme, séparé de l'ovaire par un profond sillon périgyne.
stamens 	 Étamines de 1-1,5 mm, profondément insérées, arquées extrorses; anthère à loges confluentes et transversalement déhiscentes, larges d'environ 0,5 mm. 
pistil 	 Pistil profond, trilobé à la base, subulé en style court, orné de petites taches longitudinales.
locules 	 Loges sous le niveau supérieur du disque et à base un peu plus profonde que celle des filets; 2 ovules superposés par loge, exceptionnellement juxtaposés. 
fruits 	 Fruits globuleux, un peu ellipsoïdes ou un peu plus larges que longs, de 1,5-3 cm, rouge orangé lisse et tachés de marbrures violacées ou foncées.
exocarp 	 Exocarpe mince.
seeds 	 Graines 1-3 par fruit.
habit 	 Liana S. pallescenti Oliver affinis sed petiolorum marginibus crispulatis, pedicellis perbrevibus, floribus subflavescentibus, disco pentagonali 1,5 mm diam., sulca perigyna conspicua, filamentis brevibus, antherarum rimis fradis, ovarii loculis (3)4(5)-ovulatis, differt.
habit 	 S. whytei Loes., affinis, sedpetiolis majoribus, inflorescentiis minimis subsessilibus, floribus minoribus, pallidioribus, disco mediocriter pulvinato, vix intus sulcato, filamentibus haud conjunctis differt.
anthers 	 Antherae transversae thecis confluentibus rimis dehiscentibus arcuatis.
pistil 	 Pistillum pyramidale subulatum; loculi semi-immersi 4(-5)-ovulati;  ovulis biseriatis.. 
habit 	 Liane entièrement glabre, dépourvue de caoutchouc, à entre-noeuds lisses ou presque.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole canaliculé long de 2,5-9 mm.
lamina 	 Limbe elliptique de 6-14,5 x 2,5-5,5 cm, à base cunéiforme, à sommet atténué acuminé; marges entières ou faiblement denticulées. 
median veins 	 Nervure médiane formant dessus une fine crête à sec; 6-9 paires de nervures secondaires. 
inflorescences 	 Fascicules floraux axillaires sessiles 1-3-fiores.
pedicels 	 Pédicelles de 2-4 (-12) mm (jusqu'à 12 mm pour LOESENER et pour WILCZEK: voir note ci-dessous).
buds 	 Bouton de 2,5-4 mm de diamètre, plus court que large.
flowers 	 Fleur jaune, jaune ocracé ou ± cuivré de 6-9(10) mm de diamètre, rotacée à corolle un peu concave dessus.
calyx 	 Calice à sépales inégaux, les extérieurs parfois subaigus, généralement obtus ou largement arrondis, larges de 1-1,6 mm, entiers ou microdenticulés ou munis, latéralement vers la base recouvrante, de quelques cils.
petals 	 Pétales suborbiculaires de 3,5-4,6 mm, à base un peu atténuée, à nervures nombreuses, flabellées.
disk 	 Disque de 2,5 mm de diamètre, en chapeau charnu débordant de 0,4 mm sur la base des pétales, à contour orbiculaire avec 5 petites saillies anguleuses interpétalaires; un fort sillon périgyne est occupé sans intervalles par les trois larges filets staminaux. 
stamens 	 Étamine haute de 0,8 mm; anthère transverse à deux loges distinctes mais confluentes, subérigée dans le bouton. 
pistil 	 Pistil court, de 0,6-1 mm; 3 loges semi-enfoncées à 2 ovules superposés chacune. 
fruits 	 Fruit globuleux orangé atteignant 3-5 cm, presque lisse avec 3 faibles crêtes verruculeuses.
habit 	 Liane plutôt grêle, glabre, dépourvue de caoutchouc, haute de 3-30 m; bois atteignant 4 cm de diamètre, à coupe ornée de fines stries parenchymateuses concentriques espacées de 1-3 mm. 
juvenile internodes 	 Jeunes entrenoeuds avec 4 fines arêtes et un épiderme souvent micropustuleux; rameaux souvent lenticellés. 
petiole 	 Pétiole de (2)3,5-9 mm, à marges du canal crispées ondulées.
lamina 	 Limbe elliptique de 5-13 x 2-6 cm, discolore à sec, arrondi ou obtus à la base, acuminé au sommet, à marges dentées de façon lâche.
median veins 	 Nervure médiane formant une fine crête en saillie dessus; 6-8 paires de nervures secondaires. 
inflorescences 	 Fascicules axillaires ou glomérules sessiles (l)2-8-flores.
pedicels 	 Pédicelle grêle long de (3)6-21 mm.
buds 	 Bouton globuleux d'environ 1,8 mm de diamètre.
flowers 	 Fleur rotacée de 3-5 mm de diamètre, jaune, jaune vert ou vert pâle.
sepals 	 Sépales subégaux, d'environ 1 mm de largeur, sur 0,4 mm de longueur, les intérieurs au moins arrondis, denticulés à ciliolés.
petals 	 Pétales arqués extérieurement au-dessus de la base, de 1,8-2 mm, aussi larges ou presque que longs, irrégulièrement orbiculaires ou subpolygonaux, marqués de fossettes subapicales.
disk 	 Disque subpentagonal, à faible rebord subcupulaire et un peu charnu autour des étamines; filets très courts et non jointifs;  anthères transversalement déhiscentes et larges d'environ 0,4 mm. 
pistil 	 Pistil pyramidal très court; loges demi-enfoncées sous le niveau du disque;  2 ovules superposés par loge. 
fruits 	 Fruit lisse devenant rouge, comme une cerise de 1,7-3,2 mm de diamètre et contenant 1-3 graines.
habit 	 Liane de 1 à plus de 15 m de longueur, entièrement glabre (les jeunes rameaux ne sont pas tomenteux) et dépourvue de caoutchouc.
juvenile internodes 	 Jeunes entre-noeuds quadrangulaires subailés.
leaves 	 Feuilles opposées à pétiole de 2-5 mm avec des marges ondulées.
lamina 	 Limbe olivâtre un peu discolore à sec, subové elliptique de 6-15 (18) x 3-7(8,8) cm, à base obtuse, arrondie ou subcordée; sommet acuminé;  marges nettement dentées sur toute la longueur. 
median veins 	 Nervure médiane formant une fine crête sur le dessus à sec; 8-11 paires de nervures secondaires souvent arquées à 3-5 mm de la marge. 
inflorescences 	 Inflorescences axillaires de 1-5 fleurs ou plus, sur un glomérule bractéolé parfois divisé en fascicules.
buds 	 Bouton ové de 2 mm de diamètre, s'al-longeant avant l'anthèse jusqu'à près du double de sa largeur.
pedicels 	 Pédicelle grêle de (5)8-20 mm.
flowers 	 Fleur orangée ou brun orangé, semi-urcéolée à urcéolée.
sepals 	 Sépales un peu inégaux, largement ovés, entiers, de 0,9-1,8 mm de largeur.
petals 	 Pétales 5 oblongs, peu recouvrants entre eux au sommet du bouton, marqués de fossettes internes subapicales dues au contact avec les anthères, de 2,2-3,4 x 1-1,4 mm.
disk 	 Disque présentant à la base une couronne subpentagonale de 1,2-1,7 mm de diamètre, couvrant avec une étroite marge les bases des pétales; vers le haut le disque se prolonge par un tronc de cône charnu qui porte l'androcée et le pistil;  de la base du disque jusqu'au stigmate la hauteur varie de 0,9 à 2,7 mm. 
stamens 	 Étamines dressées dans le bouton, de 0,7 à 1,6 mm; anthère jaune à loges confluentes transversalement déhiscentes. 
style 	 Style atténué, stigmate ponctiforme.
locules 	 Loges demi-enfoncées par rapport à l'insertion des filets.
ovules 	 Dans chaque loge deux ovules superposés (rarement plutôt juxtaposés: Letouzey 14966).
fruits 	 Fruit globuleux, lisse, d'environ 2 cm de diamètre et contenant 2 graines.
habit 	 Liane dépassant 6-10 m de hauteur, dépourvue de caoutchouc.
lamina 	 Limbes olivacé clair à sec, concolores et minces, de (5)6-11(14) x (2)2,5-4,5(5) cm, à très fin réseau apparent, entier (dents très fines chez la fa. volkensiana); base aiguë, acumen ± rostré de 8-20 mm. 
petiole 	 Pétiole long de 4-10 mm; canal étroit à marges finement ondulées ou droites. 
secondary veins 	 Nervures secondaires 7-9 paires.
glomerules 	 Petits glomérules pauciflores axillaires sessiles.
buds 	 Boutons ovés de 1-1,9 mm de diamètre; très petites fleurs jaunes, jaune clair, orangé pâle ou jaune rougeâtre de 4,2-5,3 mm de diamètre. 
pedicels 	 Pédicelle grêle long de 6,5-11 mm.
sepals 	 Sépales un peu inégaux, arrondis, à marge denticulée glandulifère, larges de 0,7-1,9 mm.
petals 	 Pétales ovés de 2,2-2,5 x 1,4-1,6 mm.
disk 	 Disque obtusément pentagonal, petit, de 1,2-1,6 mm de diamètre, un peu sinueux latéralement.
furrows 	 Sillon périgyne discontinu en 3 fossettes.
stamens 	 Étamines d'environ 1 mm, espacées à la base; anthère réniforme à loges confluentes, large de 0,6 mm. 
style 	 Style atténué tronqué plus court que les filets.
ovary 	 Ovaire à 3 loges (4)5-6 ovulées.
fruits 	 Fruit à 4-12 graines, subglobuleux, de 3-10 x 2,5-6 cm, à péricarpe un peu bosselé, verruculeux ou rugueux, ± apiculé mais non orné de crêtes laminées tortueuses, parfois épais (jusqu'à 9 mm in vivo); graines de 1,5-3 cm.. 
habit 	 Plante glabre et dépourvue de caoutchouc, à rameaux cylindriques très finement lenticellés.
leaves 	 Feuilles opposées.
petiole 	 Pétiole de 7-17 mm.
lamina 	 Limbe discolore elliptique, ± ové ou oblong, de 12-18 x 4,2-9 cm, à base largement cunéiforme, sommet courtement acuminé et marges entières.
secondary veins 	 Nervures secondaires 11-13 paires; fin réseau dense et bien apparent dessous à sec. 
inflorescences 	 Fascicules floraux axillaires, sessiles, pluri- ou multiflores.
pedicels 	 Pédicelle subfiliforme de 15-20 mm.
flowers 	 Fleur de 5-7 mm de diamètre.
sepals 	 Sépales inégaux étalés, les extérieurs subdeltoïdes arrondis de 1 mm, les internes suborbiculaires et ± pétaloïdes atteignant 2 mm.
petals 	 Pétales étalés onguiculés, plus larges que longs, de 2-3,25 x 4 mm, à marge ± relevée.
disk 	 Disque étalé annulaire.
stamens 	 Étamine de 1 mm; anthère à loges confluentes en angle très obtus. 
pistil 	 Pistil bref à petit stigmate un peu capité.
ovules 	 Ovules juxtaposés, 2 par loge.
habit 	 Liane grêle souvent modeste, 2-3 m, glabre, dépourvue de caoutchouc.
juvenile shoots 	 Jeunes rameaux souvent très grêles, cylindriques ou à très fines arêtes; vieux rameaux ± ruguleux subéreux, brunâtres. 
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 2-6 mm, à marges du canal ± ondulées à crispées.
lamina 	 Limbe plutôt mince, brun olivâtre à olivacé, subconcolore, parfois presque noirâtre à sec, elliptique, de 6-15 x 2,5-5 cm, à base aiguë ou ± arrondie, souvent subobtuse, à sommet acuminé souvent atténué avec un acumen un peu oblique et à extrémité arrondie; marges subdentées à entières. 
median veins 	 Nervure médiane saillante en fine crête dessus; 5-7(9) paires de nervures secondaires;  fines nervilles apparentes sur les deux faces à sec. 
inflorescences 	 Petites inflorescences axillaires uni- ou pauciflores, à pédoncule basai de 0,5-3 mm de longueur.
bracts 	 Un petit nombre de bractées minuscules groupées est plus rarement remplacé par une chaînette de bractées échelonnées (fa. ophiurella Hallé, Bull. Mus. natn. Hist. nat. Paris 30(5): 469, 1958).
buds 	 Boutons ovés courts de 2 mm.
pedicels 	 Pédicelles grêles de 5-10 mm.
flowers 	 Fleur rotacée de 5-6 mm de diamètre, orangée, pâle ou ± foncée, à calice vert jaunâtre et disque vert.
sepals 	 Sépales ovés subégaux, larges de 0,9-1,2 mm, entiers ou érodés.
petals 	 Pétales oblongs, à sommet parfois un peu anguleux, de 2-2,6 x 1,3-1,6 mm.
disk 	 Disque en coussin brièvement subcylindrique ou tronconique, de 1,6-1,8 mm de diamètre et 0,6-0,8 mm d'épaisseur, ± nettement fossulé sous les étamines (contact des loges dans le bouton).
filaments 	 Filets espacés entre eux, courts, à fossette adaxiale à la base; anthère à loges adhérentes disposées en angle très ouvert, large de 0,7-0,8 mm;  pollen jaune clair. 
pistil 	 Pistil pyramidal court, moins de 1 mm, à stigmate ponctiforme.
locules 	 Loges de l'ovaire enfoncées à 2-5 ovules bisériées chacune.
fruits 	 Fruit rouge orangé vif, de 3-4 cm de diamètre, orné de crêtes saillantes formant un réseau plutôt serré et contenant 4-5 graines.
seeds 	 Graine de 14 x 10 x 9 mm à cotylédons blancs soudés en masse homogène et sans gemmule distincte.
habit 	 Liane glabre dépourvue de caoutchouc, haute de 3-15 m.
wood 	 Bois rougeâtre présentant en coupe pour un diamètre de 9 mm, des petites stries rayonnantes de parenchyme.
juvenile internodes 	 Jeunes entre-noeuds lisses, grisâtres à sec.
mature stems 	 Tiges âgées rugueuses.
leaves 	 Feuilles opposées, rarement subopposées.
petiole 	 Pétiole de 5-10 mm, à canal un peu étroit, à marges droites ou faiblement ondulées.
lamina 	 Limbe grisâtre ou au moins foncé dessus à sec, elliptique, de 7-17 x 3,5-9 cm, subaigu à cunéiforme à la base, acuminé à rostré au sommet, à marge entière ou à peu près.
secondary veins 	 Nervures secondaires 5-9(11) paires; intersecondaires flabellées. 
inflorescences 	 Inflorescences pauci- ou uniflores axillaires.
peduncle 	 Petit pédoncule basai de 0,3-1(1,8) mm.
pedicels 	 Pédicelle de 3,5-5 mm, vert ainsi que le calice.
sepals 	 Sépales fortement bombés, inégaux, très obtus ou arrondis, entiers ou presque, larges de 1-2 mm.
buds 	 Bouton brièvement ové de 2,5-3 mm.
petals 	 Pétales orangés ou rougeâtres, oblongs, étalés, se chevauchant un peu à la base autour du disque, à bord distal parfois subanguleux, de 2,8-3,2 x 2-2,3 mm, à fossettes subapicales parfois nettes.
disk 	 Disque vert, épais, 0,5 mm, de 1,8-2,9 mm de diamètre, marqué au sommet de 3 fossettes staminales bilobées.
filaments 	 Filets insérés séparément dans un sillon périgyne discontinu; l'étamine atteint 1 mm;  anthère orangée, large de 0,6-1 mm, à loges confluentes, à fente transverse, subapicale dans le bouton. 
ovary 	 Ovaire vert; style atténué plutôt court. 
locules 	 Loges petites et profondes, chacune à 4(5)(6 ?) ovules sub-bisériés.
rehydrated flowers 	 La fleur réhydratée est robuste, bien rotacée, à tissus ± rougeâtres opaques et pièces florales plutôt épaisses.
fruits 	 Fruit subsphérique de 3-4 cm de diamètre, à 3 fines crêtes longitudinales et quelques médiocres rides intermédiaires.
seeds 	 Graines de 1-1,5 cm, jusqu'à 6-7 par fruit, à cotylédons soudés.
note 	 Les fruits de Jolly 10, peu ridés, sont semblables aux formes camerounaises et nigériennes. Les fruits de Klaine 2843 diffèrent par leurs rides plus épaisses et plus nombreuses (forme typique ?).
inflorescences 	 Cette variété ne diffère de la précédente que par ses inflorescences à peu près sessiles et
leaves 	 ses feuilles olivacées concolores, au moins chez le type.
ovules 	 Ovules 4-6 par loge.
habit 	 Arbuste de 2 m ou liane atteignant 25 m, glabre, dépourvue de caoutchouc.
juvenile shoots 	 Jeunes rameaux rapidement brunâtres et lenticellés, puis rudes et grisâtres.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 7-13 mm, un peu épais, à canal pincé et finement crispé à sec.
lamina 	 Limbe coriace, brun olivacé, faiblement discolore, elliptique ou oblong, de 10-25 x 5-12 cm; base aiguë, arrondie ou brièvement cunéiforme, sommet acuminé aigu, marge entière grossièrement rebordée dessous ou avec parfois des denticules espacés peu distincts. 
secondary veins 	 Nervures secondaires 7-11 (12) paires; le réseau apparent est très lâche dessous. 
inflorescences 	 Inflorescence axillaire pluriflore en glomérule ± divisé, subsessile ou sur un pédoncule de 1-4 mm.
buds 	 Bouton court de 2 x 3 mm.
pedicels 	 Pédicelle de (4)5-9,5 mm.
flowers 	 Fleur épanouie non vue (7-8 mm au moins).
sepals 	 Sépales petits, inégaux, subobtus, entiers.
petals 	 Pétales suborbiculaires de 2-3 mm.
disk 	 Disque en bourrelet 5-lobé à bord épais de 0,5 mm formant presque une cupule autour du profond sillon périgyne où s'insèrent les très courtes étamines; anthère à loges confluentes;  fentes en ligne transversale à peine brisée, largeur 1 mm. 
pistil 	 Pistil court; style tronqué de 0,2 mm. 
locules 	 Loges enfoncées à 2 ovules superposés par loge.
mature fruits 	 Fruit mûr globoïde lisse, un peu irrégulier de 3,5 x 4 cm, contenant 1-4 graines.
note 	 S. dimidiae Hallé valde afflnis.
habit 	 Frutex erectus glaber, ramis juvenilibus 4-alatis.
leaves 	 Folia opposita sessilia vel subsessilia cum petiolo incrassato, basi cordata, acuminata, 19-32 x7-13 cm, 9-15 nervis utrinque.
inflorescences 	 Inflorescentiae axillares sessiles, conglomeratae vel ramulosae pluri- vel multiflorae.
buds 	 Alabaster subglobosus; pedicellum gracile 10-20 mm longum. 
flowers 	 Flos pallidus 10-17 mm in diam., sepalis ± inaequalibus suborbicularibus refractis; discus ruber, in alabastro cupuliformis, deinde extensus. 
stamens 	 Staminae distantes, antheris latis.
ovary 	 Ovarium lageniforme, stigmato capitellato, ovulis 4-6 in quoque loculo.
fruits 	 Fructus elongatus acutus.
note 	 S. longipedi (Oliver) Hallé affinis.
habit 	 Frutex erectus parvus glaber ramis juvenilibus 4-angu-latis.
leaves 	 Folia opposita subsessilia, basi ± cordata, acuminata, 9-21 x 4-9 cm, 8-16 nervis utrinque.
inflorescences 	 Inflorescentiae parvae axillares sessiles pauciflorae.
buds 	 Alabaster subglobosus.
pedicels 	 Pedicellum 4-7 mm, gracile, paulum supra basim articulatrum.
flowers 	 Flos subroseus 9-15 mm in diam., sepalis inaequalïbus 3-4 mm latis, suborbicularibus; discus cupuliformis. 
stamens 	 Staminae distantes, antheris late obtusis rimis subtransversis.
ovary 	 Ovarium superum lageniforme, stigmato capitellato, ovulis 2 in quoque loculo.
fruits 	 Fructus capsiciformis acuminatus ± constric-tus.
habit 	 Liana elatior, ramulis laevibus, foliis suboppositis, petiolis magnis canaliculatis.
lamina 	 Lamina elliptica, concolor, olivacea, basi breviter acuta, acuminata, 14-22 x 6-9 cm; costae laterales 7-8(10) utrinque. 
fascicles 	 Fasciculi axillares multiflori sphaerici in glomerulis sessilibus.
flowers 	 Flores subflavi 9-11 mm diam.
sepals 	 Sepala inaequalia, breviter ovata, glanduloso-ciliolata.
petals 	 Petala sub-quadrangulata 4-5 mm lata.
disk 	 Discus viridis subpentagonatus.
stamens 	 Stamina brevia; antherae the-cis confluentibus, transverse dehiscentibus. 
style 	 Stylus attenuatus.
ovules 	 Ovula 2 superposita in quoque loculo.
note 	 Species singularis affinitatibus valde mediocribus cum S. preussii Loes.
habit 	 Liane élevée dépassant 5-10 m de hauteur et 6 cm de diamètre, glabre, dépourvue de caoutchouc, à jeunes entre-noeuds à 4 arêtes, vert olive à sec.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 5-9 mm à bords du canal droits ou un peu sinueux.
lamina 	 Limbe olive ou olivâtre à sec, brillant dessus, souvent un peu gaufré, elliptique de 6-14,5 x 2,5-7,5 cm, à base souvent large et brièvement cunéiforme, sommet à acumen moyen ou fort, marge dentée ou denticulée de façon un peu lâche.
secondary veins 	 Nervures secondaires 7-10 paires; nervilles fines souvent plus visibles par-dessus que sous le limbe. 
inflorescences 	 Inflorescences 1-3-flores axillaires à glomérule basal sessile.
buds 	 Boutons oblongs de 2-3 x 1-1,6 mm.
pedicels 	 Pédicelles de 1,4-2 mm.
flowers 	 Fleurs orangé jaunâtre ou brunâtres.
sepals 	 Sépales courts, ovés à semi-orbiculaires, entiers ou paucidenticulés, subégaux, larges de 0,7-1,2 mm.
petals 	 Pétales semi-érigés évasés, oblongs ou subspatulés, de 2,5-3,6 x 0,8-1,3 mm.
disk 	 Disque subcylindrique, 0,9-1,6 x 0,8-1,2 mm, à petit étranglement basai.
stamens 	 Étamines érigées dans le jeune bouton, courtes, de moins de 1 mm, à anthère à fente transverse arquée subapicale, large de 0,3-0,5 mm.
pistil 	 Pistil polyédrique charnu entre les étamines et brusquement atténué subulé en style d'environ 0,6 mm à stigmate ponctiforme; loges enfoncées un peu plus qu'à demi, contenant deux ovules superposés chacune. 
fruits 	 Fruit orangé sphérique de 28 mm de diamètre, presque lisse in vivo avec 3 chevrons en légère saillie, à pulpe sucrée, contenant 3-4 graines.
exocarp 	 La forme typique du Zaïre présente un exocarpe plus épais à relief plus complexe comprenant de nombreux replis sinueux.
leaves 	 Feuilles cordées ou subcordées à la base; pétiole de 1,5-4 mm, à bords du canal ondulés crispés;  épiderme du fruit un peu rugueux. 
buds 	 Boutons, 4 x 2 mm, et fleurs un peu plus grands; sépales jusqu'à 1,5 mm de largeur;  pétales jusqu'à 4,6-1,9 mm;  disque jusqu'à 1,7 x 1,7 mm;  étamines jusqu'à 1,4 mm de longueur. 
ovules 	 Ovules 4-6 par loges, généralement bisériés.
fruits 	 Fruit subglobuleux, de 37-41 mm de diamètre, marqué de quelques plis anguleux et de 3 chevrons saillants. 4 graines de 19 x 15 mm, à cotylédons soudés et sans gemmule distincte.
wood 	 Le bois, d'après un échantillon de 35 mm de diamètre, est marqué de 5 ou 6 couronnes concentriques festonnées denticulées (structure anormale sensu OBATON, 1960).
habit 	 Liane dépassant 10-20 m de hauteur et 60 m de longueur, dépourvue de caoutchouc.
trunk 	 Tronc dépassant 10 cm de diamètre, à coupe lobée, surtout vers la base; bois marqué de lacunes orbiculaires concentriques continues et espacées entre elles de 3-8 mm. 
bark 	 Écorce avec une fine couche orange proche de la surface.
juvenile shoots 	 Jeunes rameaux ± marqués de fines arêtes.
stipules 	 Stipules très réduites.
petiole 	 Pétiole de 5-10 mm à marges du canal droites.
lamina 	 Limbe chartacé à subcoriace, faiblement discolore, souvent olivacé à sec et un peu luisant dessus, elliptique de 6-15 x 2,5-5,5 cm, à base aiguë, à sommet atténué acuminé; marge dentée, denticulée ou entière. 
median veins 	 Nervure médiane saillante dessus; 7-9 paires de nervures secondaires. 
inflorescences 	 Inflorescences en glomérules axillaires (l)5-50-flores, souvent multiflores.
pedicels 	 Pédicelle de 5-12 mm.
buds 	 Boutons ovés de 3-4 mm de longueur, de largeur variable.
flowers 	 Fleur de 4,5-6 mm de diamètre.
sepals 	 Sépales subégaux, arrondis, microdenticulés presque entiers, longs de 0,3 mm.
petals 	 Pétales oblongs ± étroits, de 2-3,5 x 1-1,8 mm, réfléchis, verts ou jaune vert.
disk 	 Disque en colonne subcylindrique, parfois étroite, vert olive, sans sillon périgyne, zoné vers la mi- hauteur, soit vers 0,5-0,7 mm au-dessus de la base.
filaments 	 Filets de 1-2 mm; anthère orangée, obliquement et transversalement déhiscente, prenant appui dans le jeune bouton sur la base charnue du pistil. 
ovary 	 Ovaire non enfoncé, à 3 loges biovulées; ovules superposés;  pistil aigu, charnu à la base. 
fruits 	 Fruits en nombre variable, souvent plusieurs par glomérule, de 12-15 mm de diamètre, rouge orangé, semblables à des cerises avec un pédoncule de 8-13 mm, et contenant 1-4 graines.
note 	 Cette espèce variable a été abusivement morcelée; les caractères principaux de la variation sont: sépales à marges entières ou ± glanduligères;  pédicelles lisses ou ± verruculeux;  sommet échancré ou un peu apiculé de l'anthère;  ovules par 2 ou plus de 2 par loge;  taille du fruit et surtout relief variables (les récoltes de KLAINE ont des fruits de 3 cm à surface bosselée verruqueuse);  plantes ripicoles ou non. 
habit 	 Liane de 4,5-15 m de hauteur, dépourvue de caoutchouc et glabre; bois à contour sinueux en coupe, orné de stries de parenchyme concentriques presque régulières et espacées de 2,5-5 mm. 
juvenile internodes 	 Jeunes entre-noeuds lisses ou ± micropustuleux, anguleux ou ± ornés d'arêtes.
leaves 	 Feuilles opposées à subopposées.
petiole 	 Pétiole de 1,5-5 mm, à marges du canal ondulées.
lamina 	 Limbe le plus souvent olivâtre ou olivacé, ± discolore à sec, elliptique, parfois sublancéolé, de 4-15 x 1,5-5 cm, aigu à arrondi à la base, à marges dentées crénelées, à sommet acuminé; 7-10 paires de nervures secondaires. 
inflorescences 	 Fascicules floraux axillaires sessiles, pauci- à multiflores.
buds 	 Boutons ovés de 2,5-3,6 x 2-3 mm, vert pâle.
pedicels 	 Pédicelles de 3-7(-9) mm, lisses ou verniculeux.
calyx 	 Calice vert pâle à 5 lobes subaigus ou ± arrondis, ciliés glanduleux ou non, parfois ± marginés ou craquelés, lisses ou ruguleux bosselés.
corolla 	 Corolle étalée, à (4)5 pétales jaunes, jaune verdâtre ou verts, oblongs ou elliptiques, de 2,9-5 x 1,5-3,5 mm, un peu charnus, à marge distale amincie parfois en cuiller.
disk 	 Disque en coussin subglobuleux de 1,5-2,3 mm de diamètre.
stamens 	 Étamines insérées sans sillon périgyne, à filets étroits à la base; anthères larges de 0,6-1 mm, à loges obliques, à sommet échancré ou plus rarement un peu apiculé. 
pistil 	 Pistil pyramidal; loges enfoncées de 1/4-3/4 par rapport à l'androcée, à 2-4(-6) ovules par loge, plutôt superposés. 
disk and pistil 	 Disque + pistil = 2-3 mm de hauteur, de couleur verte ou brune.
fruits 	 Fruit trigone avant maturité, puis presque globuleux, de 1-3 cm de diamètre, conservant en général un sommet ± triédrique, la base étant largement arrondie, rouge ou orangé à maturité, à 1-4 graines.
pedicels 	 Avec ses pédicelles lisses
locules 	 et ses loges à 2 ovules,
ovules 	 Le type est à 4 ovules par loge, mais une forme qui présente les mêmes pédicelles ruguleux verruculeux, décrite du Zaïre, n'a que 2 ovules par loge (S. mortehanii Wilczek).
fascicles 	 Bien que ni camerounaise ni gabonaise, cette variété est distinguée par ses fascicules 1-3-flores et ses boutons plutôt étroits.
pedicels 	 Les pédicelles sont lisses.
habit 	 Liane atteignant 20 m de hauteur, glabre et dépourvue de caoutchouc; jeunes rameaux à 4 fines arêtes. 
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 1,5-3 mm, à marges du canal très fortement ondulées.
lamina 	 Limbe particulièrement petit, subconcolore brun foncé ou roussâtre, de 2,5-5,5 x 1,2-2,5 cm, à base subaiguë ou ± largement arrondie, à sommet acuminé, à marge dentée.
median veins 	 Nervure médiane en fine crête dessus à sec; 5-7 paires de nervures secondaires parfois peu distinctes. 
inflorescences 	 Inflorescences axillaires sessiles ou subsessiles; petit glomérule 1-10-flore. 
pedicels 	 Pédicelle grêle de 6-13 mm.
buds 	 Bouton oblong ou un peu conique, toujours étroit, de 2,4-3,6 x 1,4-1,9 mm, brunâtre à sec.
flowers 	 Fleurs de 5-6,5 mm de diamètre, jaunâtres ou jaune vert in vivo.
sepals 	 Sépales obtus, souvent arrondis et entiers, parfois subdeltoïdes et un peu dentés, à épaissessement médian charnu.
disk 	 Disque cylindrique ou subtronconique de 1-1,3 mm de diamètre et 0,7 mm d'épaisseur.
stamens 	 Etamines plutôt grêles de 1-1,7 mm, à anthère le plus souvent nettement apiculée et large de 0,5-0,7 mm, à fentes formant un chevron plutôt aigu.
pistil 	 Pistil étroitement pyramidal et subulé de 1,5-2 mm.
locules 	 Loges à peine enfoncées d'un quart sous le niveau des êtamines et contenant chacune (1)2-4 ovules souvent superposés.
fruits 	 Petit fruit capité globuleux de 1-1,4 mm de diamètre, sans apex distinct mais pourvu d'un étroit col basai de 2-3 x 2 mm à mi-hauteur duquel sont insérés les vestiges des filets.
seeds 	 Graines 1-3 dans un fruit.
habit 	 Liane de 3-30 m de hauteur, glabre et dépourvue de caoutchouc.
internodes 	 Entre-noeuds microruguleux à 4-5 ailes droites et larges de 0,5-2 mm.
leaves 	 Feuilles opposées ou subopposées, plus rarement alternes.
petiole 	 Pétiole de 4-10 mm, à marges du canal ondulées.
lamina 	 Limbe olivacé dessus, souvent roux dessous, elliptique de 6-26 x 2,5-8 cm, à base aiguë ou, pour les plus grandes feuilles, obtuse ou arrondie, à sommet moyennement acuminé, à dents marginales régulières et nombreuses.
